geo,par2017,par2018,par2019,joinID
Three Rivers/Josephine County SD,0.646112601,0.867631851,0.679829557,
Tigard-Tualatin SD 23J,0.843912591,1.005952381,0.88733945,TIGARD-TUALATIN SD 23J
Tillamook SD 9,0.966666667,,0.967213115,TILLAMOOK SD 9
Troy SD 54,,1,,TROY SD 54
Ukiah SD 80R,1,0.76744186,,UKIAH SD 80R
Umatilla SD 6R,0.704761905,1.034482759,,
Union SD 5,1.037037037,0.92,,UNION SD 5
Vale SD 84,,1,0.878378378,VALE SD 84
Vernonia SD 47J,1.066666667,0.357142857,0.914893617,VERNONIA SD 47J
Wallowa SD 12,1,,1,WALLOWA SD 12
Warrenton-Hammond SD 30,,0.948870392,,WARRENTON-HAMMOND SD 30
West Linn-Wilsonville SD 3J,0.958666667,,0.95,
Willamina SD 30J,,0.743243243,,WILLAMINA SD 30J
Winston-Dillard SD 116,,,,WINSTON-DILLARD SD 116
Woodburn SD 103,,0.973333333,0.944325482,WOODBURN SD 103
Yamhill Carlton SD 1,0.878787879,0.5,,
Yoncalla SD 32,,,,YONCALLA SD 32
