FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,participation,ODS_Provider,Location,No 5th Grade,No 6th Grade,Number_Attending,Days,Days+Nights,Cost Per Student,Total Request,Fall 5th Grad,Fall 6th Grade,Percent 5th,Percent 6th
32,-122.818089,45.47645254,Arco Iris Spanish Immersion Schools,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41027,State House District 27,1,Yes,NWRESD,Cedar Ridge,0,24,24,4,3-Apr,219.02375,5256.57,50,29,0,82.75862069
33,-122.624282,45.45781899,Ardenwald Elementary School,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,,No,,,,,,,,,,77,0,,
34,-122.5957141,45.48623867,Arleta K-8 School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,1,Yes,US,"Arrah Wanna, Howard",0,39,39,6,5-Jun,416.04,16225.56,59,43,0,90.69767442
35,-120.2005324,45.71254733,Arlington Elementary School,North Central,Arlington SD 3,Gilliam,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,1,Yes,US,Tupper Ranger Station,0,14,14,5,4-May,218,6104,16,14,0,100
36,-122.8179923,42.27172997,Armadillo Technical Institute,Southern OR,Phoenix-Talent SD 4,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,,No,,,,,,,,,,0,0,,
37,-119.3057726,45.82678387,Armand Larive Middle School,InterMountain,Hermiston SD 8,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,,No,,,,,,,,,,0,275,,
38,-122.522326,45.504387,Arthur Academy,Multnomah,David Douglas SD 40,Multnomah,41024,State Senate District 24,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41047,State House District 47,,No,,,,,,,,,,22,0,,
39,-122.7941699,45.49376767,Arts and Communication Magnet Academy,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,,No,,,,,,,,,,0,114,,
40,-123.115773,44.03561521,Arts and Technology Academy at Jefferson,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,,No,,,,,,,,,,0,158,,
41,-123.2115629,44.8611152,Ash Creek Elementary School,Willamette,Central SD 13J,Polk,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41020,State House District 20,,No,,,,,,,,,,86,0,,
42,-122.688146,42.19244857,Ashland Middle School,Southern OR,Ashland SD 5,Jackson,41003,State Senate District 3,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41005,State House District 5,1,Yes,Us,Mountain Lakes Bible Camp,0,166,166,3,2-Mar,112.9734337,18753.59,0,173,#DIV/0!,95.95375723
43,-120.6970172,44.6621623,Ashwood Elementary School,Jefferson,Ashwood SD 8,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,,No,,,,,,,,,,0,0,,
44,-122.7297973,45.57824845,Astor K-8 School,Multnomah,Portland SD 1J,Multnomah,41022,State Senate District 22,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41044,State House District 44,1,Yes,US,"Angelos/SR, Arrah Wanna",0,41,41,6,5-Jun,416.04,17057.64,36,41,0,100
45,-123.8314739,46.17959284,Astoria Middle School,Northwest Regional,Astoria SD 1,Clatsop,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,,No,,,,,,,,,,0,152,,
46,-118.4874341,45.80935321,Athena Elementary School,InterMountain,Athena-Weston SD 29RJ,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,,No,,,,,,,,,,0,0,,
47,-122.706091,45.37822598,Athey Creek Middle School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,1,Yes,YMCA of Coumibia-Willamette,YMCA Camp Collins,0,189,189,4,3-Apr,125.9835979,23810.9,0,189,#DIV/0!,100
48,-122.604683,45.50532254,Atkinson Elementary School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,,No,,,,,,,,,,76,0,,
