FID,X,Y,School_Nam,ESD,SD,County,senate_geoid,senate_district,ods_coordinator,ods_region,ods_contact,house_geoid,house_district,Participated,ODS_Provider,Location,No_5th_Grade,No_6th_Grade,Number_Attending,Days,Days+Nights,Cost_Per_Student,Total_Request,Fall_5th_Grade,Fall_6th_Grade,Percent_5th,Percent_6th
157,-122.437435,45.52411598,Clear Creek Middle School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Canby Grove Christian Center, Camp Howard, Camp Kuratli at Trestle Glen, Camp Namanu",0,184,184,6,6-5,558.11,102692.24,0,224,,82.14285714
158,-123.175064,44.08454255,Clear Lake Elementary School,Lane,Bethel SD 52,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41014,State House District 14,2,Grove Camp Outdoor School ,,0,0,0,0,Canceled,0,3855,37,0,0,
159,-123.0177072,45.02654387,Clear Lake Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41013,State Senate District 13,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41025,State House District 25,2,Camp Cascade,,0,0,0,0,Canceled,0,755.97,61,0,0,
160,-123.3590374,44.53606252,Clemens Primary School,Linn Benton Lincoln,Philomath SD 17J,Benton,41008,State Senate District 8,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41016,State House District 16,0,,,,,,,,,,,,,
161,-123.0358669,44.66888584,Clover Ridge Elementary School,Linn Benton Lincoln,Greater Albany Public SD 8J,Linn,41008,State Senate District 8,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41015,State House District 15,0,,,,,,,,,,,,,
162,-122.9704781,44.81451483,Cloverdale Elementary School,Willamette,Cascade SD 5,Marion,41012,State Senate District 12,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41023,State House District 23,0,,,,,,,,,,,,,
163,-123.0715595,44.19583501,Coburg Community Charter School,Lane,Eugene SD 4J,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,2,Coyote Outdoor School,,0,0,0,0,Canceled,0,2925.93,25,25,0,0
164,-123.2821698,43.0290475,Coffenberry Middle School,Douglas,South Umpqua SD 19,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,0,,,,,,,,,,,,,
165,-121.1979523,45.59781387,Colonel Wright Elementary School,Columbia Gorge,North Wasco County SD 21,Wasco,41030,State Senate District 30,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41059,State House District 59,0,,,,,,,,,,,,,
166,-122.4143972,45.16600471,Colton Elementary School,Clackamas,Colton SD 53,Clackamas,41009,State Senate District 9,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41018,State House District 18,0,,,,,,,,,,,,,
167,-122.422847,45.165624,Colton Middle School,Clackamas,Colton SD 53,Clackamas,41009,State Senate District 9,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41018,State House District 18,1,Oregon Museum of Science and Industry (OMSI),Coastal Discovery Center at Camp Gray,0,40,40,5,5-4,819.46,32778.4,0,48,,83.33333333
168,-122.8095526,45.89163448,Columbia City Elementary School,Northwest Regional,St Helens SD 502,Columbia,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41031,State House District 31,0,,,,,,,,,,,,,
169,-123.21766,45.20175247,Columbus Elementary School,Willamette,McMinnville SD 40,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,2,Twin Rocks Friends Camp,,0,0,0,0,Canceled,0,1240,86,0,0,
170,-120.182681,45.23603999,Condon Elementary School,North Central,Condon SD 25J,Gilliam,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,2,Condon School District,,0,0,0,0,Canceled,0,334.32,14,9,0,0
171,-122.8027484,45.44762211,Conestoga Middle School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41027,State House District 27,2,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,,0,0,0,0,Canceled,0,38976,0,325,,0
172,-122.8517428,45.46474512,Cooper Mountain Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,0,,,,,,,,,,,,,
173,-124.1872191,43.18476832,Coquille Valley Elementary,South Coast,Coquille SD 8,Coos,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,0,,,,,,,,,,,,,
174,-122.2952488,45.53068488,Corbett Middle School,Multnomah,Corbett SD 39,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41052,State House District 52,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,32604,101,92,0,0
175,-123.0545825,45.52173301,Cornelius Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,0,,,,,,,,,,,,,
176,-123.136222,44.09558223,Corridor Elementary School,Lane,Eugene SD 4J,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41013,State House District 13,2,Grove Camp Outdoor School ,,0,0,0,0,Canceled,0,5448,33,0,0,
177,-117.808966,45.29670267,Cove Charter School,InterMountain,Cove SD 15,Union,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,1,Oregon Museum of Science and Industry (OMSI),Camp Hancock (Hancock Field Station),0,24,24,3,3-2,311.56,7477.44,25,26,0,92.30769231
178,-118.5767447,43.41480753,Crane Elementary School,Harney,Harney County SD 4,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
179,-118.5767447,43.41480753,Crane Union High School,Harney,Harney County Union High SD 1J,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
180,-122.80432,42.471676,Crater Lake Charter Academy,Southern OR,Eagle Point SD 9,Jackson,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41004,State House District 4,2,Oregon Museum of Science and Industry (OMSI),,0,0,0,0,Canceled,0,2940,17,20,0,0
181,-122.5691611,45.51367888,Creative Science School,Multnomah,Portland SD 1J,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,17160,51,55,0,0
182,-123.028059,43.91964747,Creslane Elementary School,Lane,Creswell SD 40,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,0,,,,,,,,,,,,,
183,-122.613627,45.495054,Creston K-8 School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,2,Multnomah Education Service District (MESD),,0,0,0,0,Canceled,0,14300,34,56,0,0
184,-124.0652785,44.40575888,Crestview Heights School,Linn Benton Lincoln,Lincoln County SD,Lincoln,41005,State Senate District 5,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41010,State House District 10,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,566.72,47,66,0,0
185,-123.02663,43.91687302,Creswell Middle School,Lane,Creswell SD 40,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,4467.59,0,106,,0
186,-120.8341827,44.30120734,Crook County Middle School,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,20511.14,0,241,,0
187,-120.84032,44.30114749,Crooked River Elementary School,High Desert,Crook County SD,Crook,41028,State Senate District 28,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41055,State House District 55,0,,,,,,,,,,,,,
188,-123.0636182,44.87452545,Crossler Middle School,Willamette,Salem-Keizer SD 24J,Marion,41010,State Senate District 10,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41019,State House District 19,0,,,,,,,,,,,,,
189,-121.2125297,44.52340253,Culver Elementary School,Jefferson,Culver SD 4,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,2,Camp Tamarack,,0,0,0,0,Canceled,0,6201,51,0,0,
190,-121.2121597,44.52241251,Culver Middle School,Jefferson,Culver SD 4,Jefferson,41030,State Senate District 30,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41059,State House District 59,0,,,,,,,,,,,,,
191,-123.03427,44.99049498,Cummings Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41013,State Senate District 13,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41025,State House District 25,2,Canyonview Camp,,0,0,0,0,Canceled,0,7551,72,0,0,
192,-122.639738,45.52494252,da Vinci Arts Middle School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41042,State House District 42,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Camp Howard, Camp Kuratli at Trestle Glen, Camp Namanu",0,148,148,6,6-5,594.73,88020.04,0,150,,98.66666667
193,-123.327131,44.91550755,Dallas Community Charter,Willamette,Dallas SD 2,Polk,41012,State Senate District 12,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41023,State House District 23,2,Camp Tapawingo,,0,0,0,0,Canceled,0,0,19,19,0,0
194,-120.3484226,42.1868918,Daly Middle School,Lake,Lake County SD 7,Lake,41028,State Senate District 28,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41056,State House District 56,0,,,,,,,,,,,,,
195,-123.1807167,44.07672438,Danebo Elementary School,Lane,Bethel SD 52,Lane,41007,State Senate District 7,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41014,State House District 14,2,Grove Camp Outdoor School ,,0,0,0,0,Canceled,0,3854,55,0,0,
196,-122.4619992,45.52281624,Davis Elementary School,Multnomah,Reynolds SD 7,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41049,State House District 49,0,,,,,,,,,,,,,
197,-123.1629676,42.96981955,Days Creek Charter School,Douglas,Days Creek SD,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,1,Camp Fire Wilani,Camp Fire Wilani,10,9,19,3,3-2,446.12,8476.28,13,12,76.92307692,75
198,-123.0785456,45.2191344,Dayton Grade School,Willamette,Dayton SD 8,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Cedar Ridge Retreat & Conference Center (Camp Cedar Ridge),82,0,82,3,3-2,177.68,14569.76,87,0,94.25287356,
199,-123.083864,45.21619562,Dayton Jr High School,Willamette,Dayton SD 8,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41023,State House District 23,0,,,,,,,,,,,,,
200,-119.5378452,44.46694409,Dayville School,Grant,Dayville SD 16J,Grant,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
201,-122.4137435,45.42063456,Deep Creek-Damascus K-8 School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41051,State House District 51,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Howard",0,41,41,6,6-5,586.78,24057.98,38,45,0,91.11111111
202,-122.8120296,45.40257818,Deer Creek Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
203,-121.3025938,44.08380982,Desert Sky Montessori,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,0,12,0,0,
204,-119.3057906,45.83012976,Desert View Elementary School,InterMountain,Hermiston SD 8,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41057,State House District 57,1,Camp Elkanah,Camp Elkanah,103,0,103,3,3-2,210.01,21631.03,105,0,98.0952381,
205,-122.4177447,45.49396246,Dexter McCarty Middle School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,1,Multnomah Education Service District (MESD),"Camp Angelos (Sandy River), Camp Arrah Wanna, Inc., Canby Grove Christian Center, Camp Howard, Camp Namanu",0,161,161,6,6-5,541.62,87200.82,0,194,,82.98969072
206,-118.6793896,43.0085436,Diamond Elementary School,Harney,Diamond SD 7,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
207,-123.1270614,45.49057366,Dilley Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,0,,,,,,,,,,,,,
208,-122.8798557,43.7377626,Dorena School,Lane,South Lane SD 45J3,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41007,State House District 7,2,Camp Tadmor,,0,0,0,0,Canceled,0,846.24,12,4,0,0
209,-119.279485,43.33601248,Double O Elementary School,Harney,Double O SD 28,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,0,,,,,,,,,,,,,
210,-122.975046,44.03627901,Douglas Gardens Elementary School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,
211,-118.377747,43.8054836,Drewsey Elementary School,Harney,Drewsey SD 13,Harney,41030,State Senate District 30,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41060,State House District 60,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,851.94,0,1,,0
212,-124.4973427,42.74816929,Driftwood Elementary School,South Coast,Port Orford-Langlois SD 2CJ,Curry,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41001,State House District 1,1,Curry Watersheds Partnership,Camp Myrtlewood,0,16,16,3,3-0,443.45,7095.2,20,16,0,100
213,-121.1730998,45.58731252,Dry Hollow Elementary School,Columbia Gorge,North Wasco County SD 21,Wasco,41030,State Senate District 30,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41059,State House District 59,0,,,,,,,,,,,,,
214,-121.1247503,45.45491746,Dufur School,Columbia Gorge,Dufur SD 29,Wasco,41029,State Senate District 29,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41057,State House District 57,0,,,,,,,,,,,,,
215,-123.0103188,45.27997633,Dundee Elementary School,Willamette,Newberg SD 29J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,2,Twin Rocks Friends Camp,,0,0,0,0,Canceled,0,3475,54,0,0,
216,-122.6291332,45.46837738,Duniway Elementary School,Multnomah,Portland SD 1J,Multnomah,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,
217,-123.2087872,45.21209648,Duniway Middle School,Willamette,McMinnville SD 40,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,0,,,,,,,,,,,,,
218,-122.76024,45.402259,Durham Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41018,State Senate District 18,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41035,State House District 35,0,,,,,,,,,,,,,
219,-123.022191,44.964943,EAGLE Charter School,Oregon Department of Education,EAGLE Charter School SD,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41022,State House District 22,2,Oregon Museum of Science and Industry (OMSI),,0,0,0,0,Canceled,0,1863,22,0,0,
220,-122.793505,42.48404702,Eagle Point Middle School,Southern OR,Eagle Point SD 9,Jackson,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41004,State House District 4,0,,,,,,,,,,,,,
221,-122.7998689,42.48450924,Eagle Rock Elementary School,Southern OR,Eagle Point SD 9,Jackson,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41004,State House District 4,2,Klamath Outdoor Science School,,0,0,0,0,Canceled,0,7291.2,58,0,0,
222,-122.552011,45.49410999,Earl Boyles Elementary,Multnomah,David Douglas SD 40,Multnomah,41023,State Senate District 23,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41046,State House District 46,0,,,,,,,,,,,,,
223,-123.82082,45.45435747,East Elementary School,Northwest Regional,Tillamook SD 9,Tillamook,41016,State Senate District 16,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41032,State House District 32,1,Tillamook School District,Camp Meriwether,0,177,177,5,5-4,318.02,56289.54,191,183,0,96.72131148
224,-122.42099,45.49313898,East Gresham Elementary School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41025,State Senate District 25,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41050,State House District 50,0,,,,,,,,,,,,,
225,-122.355216,45.46873801,East Orient Elementary School,Multnomah,Gresham-Barlow SD 10J,Multnomah,41026,State Senate District 26,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41052,State House District 52,0,,,,,,,,,,,,,
226,-123.3097451,43.39315725,East Sutherlin Primary School,Douglas,Sutherlin SD 130,Douglas,41004,State Senate District 4,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41007,State House District 7,0,,,,,,,,,,,,,
227,-123.3199912,43.20715745,Eastwood Elementary School,Douglas,Douglas County SD 4,Douglas,41001,State Senate District 1,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41002,State House District 2,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,1949.78,69,0,0,
228,-122.9606108,45.52337963,Eastwood Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Magruder - United Methodist,0,56,56,3,3-2,208.21,11659.76,68,61,0,91.80327869
230,-119.18961,45.74037248,Echo School,InterMountain,Echo SD 5,Umatilla,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,2,Condon School District,,0,0,0,0,Canceled,0,1720,21,27,0,0
231,-123.062197,45.51136749,Echo Shaw Elementary School,Northwest Regional,Forest Grove SD 15,Washington,41015,State Senate District 15,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41029,State House District 29,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Westwind,0,55,55,4,4-3,686.68,37767.4,64,55,0,100
232,-123.776463,44.63399802,Eddyville Charter School,Linn Benton Lincoln,Lincoln County SD,Lincoln,41005,State Senate District 5,Charissa Jones,Central: Linn-Lincoln,https://extension.oregonstate.edu/people/charissa-jones,41010,State House District 10,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,0,7,21,0,0
233,-123.0847971,44.00434371,Edgewood Community Elementary School,Lane,Eugene SD 4J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Westwind,68,0,68,4,4-3,313,21284,69,0,98.55072464,
234,-123.072369,44.03560251,Edison Elementary School,Lane,Eugene SD 4J,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41011,State House District 11,1,Camp Tamarack,Camp Tamarack,58,0,58,3,3-2,241.33,13997.14,58,0,100,
235,-122.7701389,45.36292038,Edward Byrom Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,41019,State Senate District 19,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41037,State House District 37,0,,,,,,,,,,,,,
236,-122.9716005,45.29382751,Edwards Elementary School,Willamette,Newberg SD 29J,Yamhill,41013,State Senate District 13,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41025,State House District 25,2,Oregon Museum of Science and Industry (OMSI),,0,0,0,0,Canceled,0,13757.78,98,0,0,
237,-122.8650725,45.36402,Edy Ridge Elementary School,Northwest Regional,Sherwood SD 88J,Washington,41013,State Senate District 13,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41026,State House District 26,0,,,,,,,,,,,,,
238,-122.633997,45.44170101,El Puente,Clackamas,North Clackamas SD 12,Clackamas,41021,State Senate District 21,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41041,State House District 41,0,,,,,,,,,,,,,
239,-123.0065077,44.06976958,Elizabeth Page Elementary School,Lane,Springfield SD 19,Lane,41006,State Senate District 6,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41012,State House District 12,0,,,,,,,,,,,,,
240,-121.3461734,44.0135848,Elk Meadow Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,Camp Tamarack,,0,0,0,0,Canceled,0,10764,92,0,0,
241,-123.5788222,43.64220396,Elkton Charter School,Douglas,Elkton SD 34,Douglas,41004,State Senate District 4,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41007,State House District 7,0,,,,,,,,,,,,,
242,-123.3536437,44.07195134,Elmira Elementary School,Lane,Fern Ridge SD 28J,Lane,41004,State Senate District 4,Spirit Brooks,Central: Lane,https://extension.oregonstate.edu/people/spirit-brooks,41008,State House District 8,2,None (school or applying district is provider or school or applying district coordinated multiple providers),,0,0,0,0,Canceled,0,1567.83,51,0,0,
243,-122.8512191,45.5164825,Elmonica Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41034,State House District 34,0,,,,,,,,,,,,,
244,-121.1796471,44.30529431,Elton Gregory Middle School,High Desert,Redmond SD 2J,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41053,State House District 53,0,,,,,,,,,,,,,
245,-122.6791705,45.52394969,Emerson School,Multnomah,Portland SD 1J,Multnomah,41017,State Senate District 17,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41033,State House District 33,0,,,,,,,,,,,,,
246,-123.0112125,44.94566358,Englewood Elementary School,Willamette,Salem-Keizer SD 24J,Marion,41011,State Senate District 11,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41021,State House District 21,1,Straub Outdoors,Willamette Mission State Park,63,0,63,3,3-0,108.05,6807.15,64,0,98.4375,
247,-121.2759666,44.07131858,Ensworth Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,41027,State Senate District 27,Kris Elliott,Central: Deschutes-Jefferson,https://extension.oregonstate.edu/people/kristopher-elliott,41054,State House District 54,2,Camp Tamarack,,0,0,0,0,Canceled,0,3744,31,0,0,
248,-117.2724609,45.42432239,Enterprise Elementary School,Region 18,Enterprise SD 21,Wallowa,41029,State Senate District 29,Sarah Cuddy,Eastern,https://extension.oregonstate.edu/people/sarah-cuddy,41058,State House District 58,1,Wallowa Resources,McDaniel Stream Restoration Site,29,0,29,4,4-0,136.2,3949.8,29,32,100,0
249,-123.3196298,45.06505998,Eola Hills Charter School,Willamette,Amity SD 4J,Yamhill,41012,State Senate District 12,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41023,State House District 23,0,,,,,,,,,,,,,
250,-122.8632421,45.46705086,Errol Hassell Elementary School,Northwest Regional,Beaverton SD 48J,Washington,41014,State Senate District 14,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41028,State House District 28,0,,,,,,,,,,,,,
251,-122.3337927,45.29362358,Estacada Middle School,Clackamas,Estacada SD 108,Clackamas,41020,State Senate District 20,Benno Lyon,Northern,https://extension.oregonstate.edu/people/benno-lyon,41039,State House District 39,1,Northwest Regional Education Service District (NWRESD) - Northwest Outdoor Science School,Camp Magruder - United Methodist,0,109,109,4,4-3,304,33136,0,141,,77.30496454
252,-122.809793,44.98028201,Evergreen Elementary School,Willamette,Silver Falls SD 4J,Marion,41009,State Senate District 9,Kristi Backe,Central: Polk-Marion,https://extension.oregonstate.edu/people/kristi-backe,41018,State House District 18,0,,,,,,,,,,,,,
253,-123.652962,42.16942755,Evergreen Elementary School,Southern OR,Three Rivers/Josephine County SD,Josephine,41002,State Senate District 2,Amy Hoffman,Southern,https://extension.oregonstate.edu/people/amy-hoffman,41003,State House District 3,0,,,,,,,,,,,,,
254,-123.0573279,45.33007304,Ewing Young Elementary School,Willamette,Newberg SD 29J,Yamhill,41012,State Senate District 12,Charissa Jones,Central: Benton-Polk,https://extension.oregonstate.edu/people/charissa-jones,41024,State House District 24,1,Glen's Gizmos,George Fox University,31,0,31,3,3-0,131.97,4091.07,39,0,79.48717949,
